Day Month Year MinTemp MaxTemp Precipitation ReferenceET
1 10 2022 8.8 23.2 0.2 3.89
2 10 2022 8.8 25.5 0.0 4.35
3 10 2022 9.8 22.8 0.0 4.65
4 10 2022 7.1 22.0 0.0 4.78
5 10 2022 11.0 25.7 0.0 5.13
6 10 2022 13.4 18.7 1.2 1.55
7 10 2022 9.3 26.2 0.0 4.61
8 10 2022 8.2 21.7 0.0 4.55
9 10 2022 3.4 18.9 0.0 4.33
10 10 2022 5.7 21.6 0.0 4.98
11 10 2022 5.3 22.4 0.0 4.64
12 10 2022 7.8 25.4 0.2 4.82
13 10 2022 9.1 22.5 0.0 5.13
14 10 2022 3.1 19.4 0.0 4.8
15 10 2022 11.7 22.3 0.0 3.64
16 10 2022 11.1 20.3 0.0 3.18
17 10 2022 9.6 20.8 0.0 3.24
18 10 2022 15.8 23.3 0.0 3.23
19 10 2022 15.6 26.9 0.0 3.31
20 10 2022 17.4 20.0 20.0 0.94
21 10 2022 15.3 26.6 2.6 3.89
22 10 2022 9.9 18.1 17.4 2.51
23 10 2022 7.3 22.0 0.2 4.2
24 10 2022 13.3 25.9 0.0 5.15
25 10 2022 15.0 27.8 0.0 5.67
26 10 2022 16.8 23.5 5.8 2.4
27 10 2022 13.2 27.4 0.0 5.8
28 10 2022 13.5 30.2 0.0 6.09
29 10 2022 15.1 34.3 10.6 5.75
30 10 2022 10.7 21.0 19.2 0.93
31 10 2022 8.2 16.7 0.0 4.41
1 11 2022 7.2 20.7 0.0 4.52
2 11 2022 7.7 25.4 0.0 5.19
3 11 2022 10.7 27.1 0.0 5.62
4 11 2022 12.9 24.8 0.0 5.83
5 11 2022 12.1 24.8 0.0 6.0
6 11 2022 14.1 26.2 0.0 6.29
7 11 2022 14.2 25.9 0.0 6.03
8 11 2022 12.8 25.9 0.0 6.19
9 11 2022 13.3 27.4 0.0 6.35
10 11 2022 15.5 28.5 0.0 5.15
11 11 2022 15.6 30.3 0.0 5.74
12 11 2022 18.0 29.6 0.0 3.96
13 11 2022 17.7 28.1 36.4 3.34
14 11 2022 15.3 24.4 3.2 3.21
15 11 2022 13.9 31.2 0.0 7.11
16 11 2022 16.3 34.0 0.0 6.19
17 11 2022 19.6 33.9 0.0 6.91
18 11 2022 19.5 34.2 0.0 7.47
19 11 2022 19.3 34.7 0.0 5.85
20 11 2022 21.2 31.8 1.0 3.94
21 11 2022 15.9 21.2 16.6 1.1
22 11 2022 13.0 22.7 0.2 4.41
23 11 2022 11.0 28.6 0.0 5.7
24 11 2022 15.5 35.3 0.0 6.3
25 11 2022 18.2 35.8 0.0 6.31
26 11 2022 20.8 34.5 0.0 6.62
27 11 2022 20.8 33.9 0.0 6.84
28 11 2022 20.2 33.1 0.0 6.5
29 11 2022 19.2 32.4 0.0 6.4
30 11 2022 20.9 34.8 5.8 6.46
1 12 2022 20.3 23.8 8.6 2.99
2 12 2022 17.7 28.7 0.0 5.12
3 12 2022 15.8 31.1 0.0 5.94
4 12 2022 16.6 33.2 0.2 6.76
5 12 2022 17.7 35.4 0.0 7.0
6 12 2022 20.4 36.2 0.0 6.58
7 12 2022 21.6 37.0 0.0 6.68
8 12 2022 22.6 34.9 0.0 4.2
9 12 2022 20.1 39.4 1.6 6.96
10 12 2022 21.7 30.7 13.4 4.15
11 12 2022 22.6 37.1 0.0 6.57
12 12 2022 19.1 28.1 0.8 4.44
13 12 2022 13.4 28.9 0.0 5.66
14 12 2022 16.6 33.7 0.0 6.66
15 12 2022 19.2 30.7 0.0 5.65
16 12 2022 10.5 26.9 0.0 6.67
17 12 2022 14.5 27.7 0.0 6.12
18 12 2022 15.8 29.8 0.0 6.35
19 12 2022 18.9 31.6 0.0 6.09
20 12 2022 18.3 30.6 0.0 6.59
21 12 2022 19.1 33.2 0.0 6.64
22 12 2022 20.9 35.3 0.0 6.72
23 12 2022 20.2 27.2 16.4 2.13
24 12 2022 17.6 25.5 2.4 3.38
25 12 2022 14.6 24.8 0.0 5.88
26 12 2022 12.3 28.2 0.0 6.29
27 12 2022 13.6 29.8 0.0 4.9
28 12 2022 17.1 34.1 0.0 7.47
29 12 2022 15.3 31.1 0.0 6.16
30 12 2022 17.1 36.7 0.0 7.13
31 12 2022 21.4 38.4 0.0 6.42
1 1 2023 20.2 30.6 2.4 3.05
2 1 2023 16.9 30.3 0.2 6.88
3 1 2023 16.2 33.7 0.0 6.9
4 1 2023 16.6 32.1 0.0 7.74
5 1 2023 14.5 34.2 0.0 7.15
6 1 2023 21.7 36.7 0.0 7.47
7 1 2023 21.2 35.2 0.0 7.89
8 1 2023 21.4 33.8 0.0 7.24
9 1 2023 20.9 34.8 0.0 6.99
10 1 2023 21.4 36.8 0.0 6.44
11 1 2023 20.7 31.4 0.0 4.71
12 1 2023 17.1 30.6 0.2 5.8
13 1 2023 20.2 30.6 0.0 5.21
14 1 2023 15.7 33.7 0.0 6.46
15 1 2023 17.1 35.9 0.0 6.53
16 1 2023 21.1 37.4 0.0 6.8
17 1 2023 23.2 38.6 0.0 8.4
18 1 2023 22.8 34.9 0.0 5.5
19 1 2023 23.6 36.8 0.0 6.68
20 1 2023 23.3 38.8 4.6 6.5
21 1 2023 21.3 29.2 11.4 3.26
22 1 2023 21.8 34.2 0.0 6.24
23 1 2023 21.2 34.6 0.0 6.33
24 1 2023 20.6 38.2 0.0 7.26
25 1 2023 23.2 35.2 0.2 4.79
26 1 2023 24.2 34.3 0.0 6.09
27 1 2023 20.9 30.5 20.2 2.31
28 1 2023 21.2 32.0 0.0 5.05
29 1 2023 21.0 33.1 0.0 6.52
30 1 2023 19.1 33.0 0.0 5.98
31 1 2023 18.8 35.5 0.0 6.24
1 2 2023 22.1 34.9 0.0 2.96
2 2 2023 19.6 21.3 1.4 0.64
3 2 2023 18.5 26.9 0.2 3.66
4 2 2023 16.0 27.3 0.2 5.09
5 2 2023 13.6 26.6 0.0 2.03
6 2 2023 13.6 26.6 0.0 2.03
7 2 2023 25.9 36.9 0.0 1.69
8 2 2023 22.2 38.3 0.0 6.01
9 2 2023 18.7 32.6 0.0 4.47
10 2 2023 21.4 36.9 0.0 6.16
11 2 2023 22.5 38.6 0.0 6.71
12 2 2023 26.1 39.2 0.0 7.88
13 2 2023 22.9 34.3 0.0 4.58
14 2 2023 20.8 28.1 6.2 2.09
15 2 2023 17.8 32.8 0.0 5.29
16 2 2023 14.5 23.9 19.6 1.67
17 2 2023 8.6 17.2 0.0 4.04
18 2 2023 8.2 22.3 0.0 4.9
19 2 2023 11.8 26.8 0.0 5.69
20 2 2023 13.8 29.8 0.0 5.85
21 2 2023 17.7 32.0 0.0 5.38
22 2 2023 19.9 30.4 0.0 3.66
23 2 2023 21.8 28.1 0.0 2.75
24 2 2023 20.7 27.3 0.0 2.38
25 2 2023 18.7 31.1 19.8 4.23
26 2 2023 19.8 33.8 0.0 5.1
27 2 2023 17.4 34.0 0.0 5.01
28 2 2023 20.8 36.0 0.0 5.66
1 3 2023 21.2 36.5 0.0 5.47
2 3 2023 21.7 35.1 0.0 4.95
3 3 2023 20.3 33.1 0.2 3.5
4 3 2023 20.5 35.1 0.2 4.77
5 3 2023 20.7 34.6 0.0 5.06
6 3 2023 20.8 33.4 0.0 5.83
7 3 2023 19.7 34.2 0.0 4.86
8 3 2023 21.7 36.4 0.0 5.17
9 3 2023 21.1 37.8 0.0 5.4
10 3 2023 23.8 38.1 0.0 5.46
11 3 2023 24.1 38.4 0.0 5.62
12 3 2023 22.9 37.9 0.0 5.91
13 3 2023 23.8 37.4 0.0 5.35
14 3 2023 24.3 36.9 0.4 4.71
15 3 2023 22.0 29.8 40.4 2.33
16 3 2023 21.6 28.8 0.2 2.9
17 3 2023 23.1 28.6 4.6 1.61
18 3 2023 22.3 31.2 0.2 3.31
19 3 2023 22.9 33.4 0.0 3.7
20 3 2023 23.1 30.5 0.0 3.59
21 3 2023 18.0 22.4 19.0 0.89
22 3 2023 16.8 20.0 10.0 0.57
23 3 2023 19.3 25.1 0.0 1.32
24 3 2023 19.0 27.5 0.0 2.83
25 3 2023 20.3 24.8 28.0 2.21
26 3 2023 15.1 24.1 0.0 2.09
27 3 2023 13.6 25.4 0.0 3.96
28 3 2023 16.7 28.6 0.0 4.33
29 3 2023 18.5 26.9 40.2 1.97
30 3 2023 17.8 24.4 0.0 2.05
31 3 2023 12.5 25.1 0.0 3.0
1 4 2023 7.9 22.3 0.0 3.63
2 4 2023 13.4 25.7 0.0 3.92
3 4 2023 16.6 20.7 16.4 1.46
4 4 2023 14.4 24.6 0.2 2.9
5 4 2023 15.7 24.6 0.0 3.26
6 4 2023 17.6 25.8 0.0 3.13
7 4 2023 15.9 25.1 0.0 2.96
8 4 2023 14.2 25.2 0.0 3.48
9 4 2023 15.2 26.8 0.0 3.5
10 4 2023 12.8 27.6 0.0 3.37
11 4 2023 16.7 30.0 0.0 3.7
12 4 2023 16.4 25.2 1.0 2.87
13 4 2023 9.3 19.8 0.2 2.88
14 4 2023 6.6 20.8 0.0 3.2
15 4 2023 12.7 21.9 0.6 2.99
16 4 2023 11.4 21.3 0.0 2.38
17 4 2023 9.2 20.9 0.2 2.6
18 4 2023 9.9 18.6 0.0 2.83
19 4 2023 9.6 18.8 0.4 2.64
20 4 2023 7.3 21.3 0.0 2.9
21 4 2023 8.7 22.9 0.0 3.29
22 4 2023 9.2 25.9 0.0 2.93
23 4 2023 13.8 23.4 0.0 1.86
24 4 2023 14.7 23.9 0.2 1.77
25 4 2023 15.7 20.3 16.8 1.6
26 4 2023 13.2 22.2 0.4 1.77
27 4 2023 11.9 24.3 0.4 2.4
28 4 2023 13.1 25.2 0.2 3.03
29 4 2023 13.8 25.9 0.0 3.74
30 4 2023 15.2 29.8 0.2 3.38
1 5 2023 12.8 20.3 0.0 3.31
2 5 2023 10.2 18.8 0.0 2.69
3 5 2023 7.2 20.8 0.0 2.78
4 5 2023 10.9 22.3 0.0 2.19
5 5 2023 16.9 20.0 28.8 0.74
6 5 2023 15.9 18.3 0.6 0.6
7 5 2023 13.2 19.2 0.0 1.42
8 5 2023 10.5 23.0 0.2 2.06
9 5 2023 10.0 20.2 0.2 2.04
10 5 2023 10.4 21.3 0.2 2.5
11 5 2023 7.3 17.5 0.0 1.88
12 5 2023 6.1 18.7 0.2 2.18
13 5 2023 9.6 23.7 0.0 2.58
14 5 2023 10.0 23.8 0.0 2.56
15 5 2023 10.9 25.4 0.0 2.4
16 5 2023 11.5 25.5 0.0 2.89
17 5 2023 12.0 24.8 0.0 2.84
18 5 2023 13.1 21.7 0.0 2.36
19 5 2023 12.1 23.5 3.0 1.76
20 5 2023 14.7 17.7 0.4 0.71
21 5 2023 15.2 21.3 2.2 1.08
22 5 2023 14.1 20.9 0.4 1.08
23 5 2023 17.6 25.7 0.0 1.85
24 5 2023 18.7 21.4 68.8 0.41
25 5 2023 18.4 24.6 4.0 1.36
26 5 2023 14.6 21.5 11.2 1.23
27 5 2023 7.7 17.2 0.0 2.66
28 5 2023 4.1 14.3 0.0 1.92
29 5 2023 3.6 15.1 0.2 1.49
30 5 2023 9.4 18.2 0.0 1.91
31 5 2023 9.8 21.8 0.2 1.85
1 6 2023 13.8 24.1 0.0 2.08
2 6 2023 15.0 23.8 0.0 2.22
3 6 2023 18.6 25.6 0.0 1.93
4 6 2023 12.2 19.7 33.2 0.62
5 6 2023 7.0 17.1 0.0 1.82
6 6 2023 10.8 23.7 0.0 1.93
7 6 2023 17.7 24.1 0.0 1.43
8 6 2023 19.3 26.1 0.0 2.36
9 6 2023 13.2 22.1 0.0 1.41
10 6 2023 8.5 15.0 0.0 1.77
11 6 2023 5.7 10.0 0.0 0.39
12 6 2023 5.7 10.0 0.0 0.39
13 6 2023 6.2 13.9 0.0 0.64
14 6 2023 6.2 13.9 0.0 0.64
15 6 2023 0.8 16.7 0.0 1.6
16 6 2023 3.4 17.4 0.0 1.5
17 6 2023 6.3 15.4 0.0 1.91
18 6 2023 3.3 15.0 0.0 1.68
19 6 2023 6.3 15.8 0.0 1.7
20 6 2023 3.3 15.2 0.0 1.72
21 6 2023 6.5 11.8 0.8 0.42
22 6 2023 7.7 14.1 0.0 1.0
23 6 2023 5.9 13.2 0.2 0.43
24 6 2023 13.3 18.3 0.2 0.39
25 6 2023 13.3 16.3 0.0 0.85
26 6 2023 14.8 18.5 0.0 0.3
27 6 2023 12.1 15.2 22.6 0.36
28 6 2023 8.8 14.7 0.0 1.35
29 6 2023 5.3 14.8 0.0 1.53
30 6 2023 5.9 15.8 0.0 1.78
1 7 2023 9.7 19.2 0.0 1.69
2 7 2023 11.9 22.6 0.0 1.96
3 7 2023 12.8 23.1 0.0 1.89
4 7 2023 16.2 23.9 1.2 1.77
5 7 2023 17.2 23.2 9.8 1.42
6 7 2023 14.6 18.4 9.0 0.61
7 7 2023 11.2 16.5 17.6 1.44
8 7 2023 11.1 16.0 0.0 0.91
9 7 2023 11.5 16.3 0.0 0.71
10 7 2023 9.9 15.0 0.0 0.93
11 7 2023 8.0 15.0 0.0 1.74
12 7 2023 9.3 11.0 44.0 0.88
13 7 2023 7.5 9.9 4.4 0.49
14 7 2023 3.0 9.4 0.0 0.75
15 7 2023 8.3 12.2 0.0 0.68
16 7 2023 3.9 11.7 0.0 1.45
17 7 2023 1.0 10.2 0.0 1.48
18 7 2023 1.3 11.2 0.0 1.65
19 7 2023 2.7 13.6 0.0 1.9
20 7 2023 7.3 16.4 0.0 1.17
21 7 2023 13.5 25.9 0.0 2.88
22 7 2023 19.6 26.4 0.0 3.12
23 7 2023 10.3 18.3 0.0 2.39
24 7 2023 9.7 12.8 1.2 0.92
25 7 2023 8.8 13.4 0.8 0.84
26 7 2023 8.9 14.2 2.4 0.85
27 7 2023 4.4 15.4 0.0 1.43
28 7 2023 3.0 15.8 0.0 1.7
29 7 2023 6.1 17.6 0.0 2.14
30 7 2023 7.1 19.7 0.0 1.82
31 7 2023 9.4 22.8 0.0 1.95
1 8 2023 15.0 27.1 0.0 2.46
2 8 2023 15.5 29.1 0.0 2.61
3 8 2023 12.2 15.0 0.0 0.97
4 8 2023 12.2 15.0 0.0 0.97
5 8 2023 12.2 15.0 0.0 0.97
6 8 2023 14.4 18.3 0.0 0.67
7 8 2023 14.4 18.3 0.0 0.67
8 8 2023 14.4 18.3 0.0 0.67
9 8 2023 14.4 18.3 0.0 0.67
10 8 2023 14.4 18.3 0.0 0.67
11 8 2023 8.4 17.3 0.0 2.36
12 8 2023 4.3 12.9 0.0 2.44
13 8 2023 0.9 15.3 0.0 2.57
14 8 2023 5.6 22.7 0.0 3.06
15 8 2023 10.7 25.0 0.0 3.56
16 8 2023 18.5 29.1 0.0 2.97
17 8 2023 15.1 23.4 20.4 0.74
18 8 2023 8.3 15.3 0.2 1.07
19 8 2023 3.2 15.4 0.0 2.07
20 8 2023 7.1 14.2 0.0 1.84
21 8 2023 5.6 23.7 0.0 3.08
22 8 2023 10.9 21.1 0.0 1.99
23 8 2023 6.3 18.1 0.0 2.89
24 8 2023 6.8 16.5 0.0 2.17
25 8 2023 7.3 16.8 0.0 2.3
26 8 2023 2.9 16.0 0.0 2.73
27 8 2023 3.2 15.7 0.0 2.74
28 8 2023 3.7 15.9 0.0 3.13
29 8 2023 2.1 18.7 0.0 2.86
30 8 2023 6.4 23.2 0.0 3.76
31 8 2023 7.5 20.5 0.0 3.09
1 9 2023 12.6 25.3 0.0 3.63
2 9 2023 14.4 23.0 0.0 2.52
3 9 2023 10.5 14.1 11.6 0.9
4 9 2023 7.1 14.7 0.0 1.7
5 9 2023 4.1 14.2 0.0 2.78
6 9 2023 6.2 14.7 0.4 2.03
7 9 2023 12.7 15.8 36.6 0.39
8 9 2023 7.7 16.1 0.0 2.29
9 9 2023 5.1 18.8 0.0 2.56
10 9 2023 9.5 19.4 0.0 1.6
11 9 2023 12.7 22.9 18.8 0.78
12 9 2023 9.3 14.2 0.0 1.44
13 9 2023 7.9 15.9 0.0 2.97
14 9 2023 4.8 18.4 0.0 3.09
15 9 2023 9.4 22.9 0.0 4.55
16 9 2023 12.8 28.6 0.0 4.76
17 9 2023 14.9 29.2 0.0 3.1
18 9 2023 11.3 17.1 0.0 1.74
19 9 2023 10.4 16.0 0.6 0.67
20 9 2023 14.8 18.2 0.0 0.76
21 9 2023 16.4 21.8 0.2 1.83
22 9 2023 16.2 20.8 0.0 1.78
23 9 2023 15.0 19.6 0.0 1.3
24 9 2023 12.2 20.5 0.0 2.13
25 9 2023 8.7 20.7 0.0 3.25
26 9 2023 8.2 14.2 4.0 0.85
27 9 2023 5.3 18.9 0.2 3.01
28 9 2023 7.6 19.6 0.0 3.45
29 9 2023 7.2 21.7 0.0 3.52
30 9 2023 6.8 18.6 0.2 3.31
1 10 2023 3.9 21.7 0.0 3.77
2 10 2023 6.3 21.4 0.0 3.74
3 10 2023 9.8 21.8 3.2 3.46
4 10 2023 9.7 18.1 0.0 2.97
5 10 2023 5.2 22.5 0.0 4.37
6 10 2023 8.9 27.1 0.0 4.6
7 10 2023 9.6 25.4 0.0 4.72
8 10 2023 8.8 25.7 0.0 4.89
9 10 2023 9.2 27.3 0.0 5.17
10 10 2023 12.7 28.9 0.0 5.78
11 10 2023 7.7 20.7 2.4 1.45
12 10 2023 2.7 17.4 0.0 4.11
13 10 2023 4.2 20.3 0.0 4.27
14 10 2023 9.2 22.8 0.0 4.9
15 10 2023 12.1 26.6 0.0 4.83
16 10 2023 17.1 29.4 0.0 3.63
17 10 2023 9.7 22.9 0.0 5.14
18 10 2023 5.9 21.8 0.0 4.45
19 10 2023 11.5 23.2 0.0 3.3
20 10 2023 13.7 25.6 0.0 3.83
21 10 2023 18.1 29.2 0.0 3.24
22 10 2023 21.3 24.7 35.2 0.24
23 10 2023 17.0 25.2 12.2 2.14
24 10 2023 13.3 20.5 0.0 1.39
25 10 2023 9.5 21.3 0.2 4.07
26 10 2023 9.0 23.5 0.0 4.52
27 10 2023 12.1 26.8 3.6 5.12
28 10 2023 13.7 28.7 2.8 5.29
29 10 2023 19.1 30.1 0.0 4.38
30 10 2023 14.7 24.1 0.0 2.94
31 10 2023 13.2 14.1 0.0 0.2
1 11 2023 12.7 14.3 16.8 0.45
2 11 2023 13.0 16.9 10.2 0.65
3 11 2023 9.7 15.0 1.2 0.5
4 11 2023 8.5 22.5 0.2 4.36
5 11 2023 10.6 23.2 0.0 4.34
6 11 2023 11.3 28.7 0.0 5.8
7 11 2023 16.8 33.2 0.0 5.72
8 11 2023 17.9 27.1 10.4 2.86
9 11 2023 12.5 27.3 0.2 6.05
10 11 2023 14.6 19.4 25.0 0.94
11 11 2023 18.2 28.2 19.2 4.88
12 11 2023 17.6 23.7 2.8 1.46
13 11 2023 17.4 20.1 0.0 0.84
14 11 2023 19.6 26.0 0.0 2.98
15 11 2023 20.9 26.6 14.0 2.47
16 11 2023 17.9 27.4 0.2 3.64
17 11 2023 16.2 28.9 0.0 3.43
18 11 2023 15.9 25.2 0.0 5.91
19 11 2023 11.7 28.6 0.0 5.38
20 11 2023 13.9 31.0 0.0 6.67
21 11 2023 17.1 32.2 22.0 3.41
22 11 2023 16.6 25.9 0.0 4.05
23 11 2023 11.3 29.0 0.0 5.58
